,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
423,NATIONAL INSTRU / 21&22;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408382, -97.726244",$4.17/month PIE members $2/hr Non-Members,40A
424,PIE AE / MILWOOD LIB 1,12500 Amherst Dr,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.422307, -97.716492",$4.17/month PIE members $2/hr Non-Members,40A
425,PIE AE / VILLATGRACYFARM,2600 Gracy Farms Ln,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.405175, -97.711583",$4.17/month PIE members $2/hr Non-Members,40A
426,PIE AE / PALMER STATION5,736-820 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.259705, -97.752496",$4.17/month PIE members $2/hr Non-Members,40A
427,PIE AE / PUB CAMP MABRY2,Camp Mabry 1 Mile Track,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parking,NEMA 5-20R,240V,J1772,"30.31659, -97.757581",$4.17/month PIE members $2/hr Non-Members,40A
428,PIE AE / WALNUTCREEKPRK2,12138 N Lamar Blvd,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.399123, -97.679489",$4.17/month PIE members $2/hr Non-Members,40A
429,PIE AE / OTC 3FL PKGSTA2,505 BARTON springs rd.,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.256863, -97.748959",$4.17/month PIE members $2/hr Non-Members,40A
430,AISD PAC / AISD PAC #5,1301-1603 E 51st St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.305204, -97.702108",$4.17/month PIE members $2/hr Non-Members,40A
431,PIE AE / PUBAMLI1,W 3rd St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.266182, -97.748168",$4.17/month PIE members $2/hr Non-Members,40A
432,PIE AE / ZILKERPARKPOLO1,2225 Andrew Zilker Rd,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.266471, -97.774765",$4.17/month PIE members $2/hr Non-Members,40A
433,WEINSTEIN / WHITESTONE 1,13945 Research Blvd,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.471863, -97.796031",$4.17/month PIE members $2/hr Non-Members,40A
434,CIELO CENTER / STATION 1,1250 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.280344, -97.823529",$4.17/month PIE members $2/hr Non-Members,40A
435,ENDEAVOR REG / STATION1,11001 Lakeline Blvd,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.479716, -97.793285",$4.17/month PIE members $2/hr Non-Members,40A
436,PIE AE / PUB-CENTRALMKTN,4001-4099 N Lamar Blvd,Austin,Texas,78756,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.308484, -97.740767",$4.17/month PIE members $2/hr Non-Members,40A
437,AMD GO GREEN / P100 FL2 LEFT,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.250807, -97.861781",$4.17/month PIE members $2/hr Non-Members,40A
438,PIE AE / OTC 3FL PKGSTA1,505 BARTON springs rd.,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.256815, -97.748988",$4.17/month PIE members $2/hr Non-Members,40A
439,PALOMA RIDGE / PALOMA1,13620 Ranch Rd 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.476801, -97.778643",$4.17/month PIE members $2/hr Non-Members,40A
440,GOODHEALTH / STATION 1,7800 Metropolis Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.206445, -97.693581",$4.17/month PIE members $2/hr Non-Members,40A
441,ENDEAVOR REG / 901 E 6TH ST 1,901 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265044, -97.733591",$4.17/month PIE members $2/hr Non-Members,40A
442,NATIONAL INSTRU / 3&4,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408744, -97.725343",$4.17/month PIE members $2/hr Non-Members,40A
443,PIE AE / PUBGABLESPRESS2,507 Pressler St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.273037, -97.759986",$4.17/month PIE members $2/hr Non-Members,40A
444,WEINSTEIN / 3 FIVE,8003 S IH 35 Frontage Rd,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.172599, -97.777067",$4.17/month PIE members $2/hr Non-Members,40A
445,COA FLEET - PIE / RUTHERFORD #3,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.337732, -97.680766",$4.17/month PIE members $2/hr Non-Members,40A
446,DSMCUT / EVSE08 G LEVEL,1305 Red River St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275195, -97.734584",$4.17/month PIE members $2/hr Non-Members,40A
