name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Ivanhoe Gardens (Coming Soon),"45 Linden Ave, Ivanhoe VIC 3079, Australia, Ivanhoe 3079",3079,-37.754954,145.054043,['Exploren'],3,0,0,0,0,0,0,,3,0,,[22.0]
Manor Lakes Central Shopping Centre,"455 Ballan Rd, Manor Lakes VIC 3024, Australia",3024,-37.875049,144.612648,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Wunggurrwil Dhurrung Centre,"Wunggurrwil Dhurrung Centre 19 Communal Road, Wyndham Vale VIC 3024, Australia",3024,-37.876378,144.62706,['Chargefox'],1,0,0,0,0,0,0,,1,0,,['unknown']
Pacific Werribee Shopping Centre,"Derrimut Rd & Heaths Rd, Werribee, VIC, Australia, VIC 3030",3030,-37.875247,144.679638,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
The Pines Shopping Centre,"181 Reynolds Rd, Doncaster East VIC 3109, Australia",3190,-37.762252,145.16823,"['ChargePoint', 'Tesla Destination']",4,0,0,0,2,2,0,,0,0,,"[6.6, 22.0]"
Dandenong Agricultural and Pastoral Society,"Dandenong 3175, Australia",3175,-37.983731,145.196402,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Rosebud Beach,"980 Point Nepean Road, Rosebud VIC 3939, Australia",3939,-38.355584,144.901769,['Non-networked'],3,0,0,0,0,0,0,,0,3,,['unknown']
Moonah Links,"65 Peter Thomson Dr, Fingal VIC 3939, Australia",3939,-38.406624,144.853314,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Croydon Train Station Multi Level Car Park,"Devon Street, Croydon, Victoria",3136,-37.796959,145.280091,['Non-networked'],6,0,0,0,0,0,0,,6,0,,[7.0]
Highpoint Shopping Centre - Basement Carpark,"Rosamond Road, Maribyrnong VIC 3032, Australia",3032,-37.772002,144.887869,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Vaclift,"39 Tullamarine Park Road, Tullamarine VIC 3043, Australia",3043,-37.709632,144.871383,['Non-networked'],1,0,0,0,0,1,0,,0,0,,['unknown']
RACV Cape Schanck Resort,"6 Presnell Ct, Cape Schanck VIC 3939, Australia",3939,-38.461847,144.893721,"['Tesla Destination', 'Non-networked']",7,0,0,0,0,2,0,,4,1,,"[4.0, 'unknown']"
Schnapper Point Dr Parking/Charging,"Schnapper Point Dr, Mornington VIC 3931, Australia",3931,-38.215455,145.035453,['Non-networked'],1,0,0,0,0,0,1,,0,0,,['unknown']
Priority One Trade Services,"65 Watt Road, Mornington 3931, Australia",3931,-38.231677,145.056367,['Non-networked'],1,0,0,0,0,0,0,,1,0,,[22.0]
Peninsula Home Shopping Centre,"1130-1134 Nepean Highway, Mornington VIC 3931, Australia",3931,-38.220693,145.061207,['EVUp'],4,0,0,0,0,0,0,,4,0,,[22.0]
Dandenong Market - Southern Car Park (Coming Soon),"40 Cleeland St, Dandenong VIC 3175, Australia",3175,-37.984494,145.216329,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Ventia Head Office Carpark,"20 Corporate Drive, Heatherton 3202, Australia",3202,-37.950648,145.080488,['ChargePoint'],2,0,0,0,2,0,0,,0,0,,[6.6]
North Drive Office Complex,"236 E Boundary Rd, Bentleigh East VIC 3165, Australia",3165,-37.909599,145.062347,['ChargePoint'],1,0,0,0,1,0,0,,0,0,,['unknown']
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3060,-37.696652,144.959707,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Foreshore Camping,"1380 Point Nepean Rd, Rosebud VIC 3939, Australia",3939,-38.359707,144.888748,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Dromana Drive-in,"133 Nepean Hwy, Dromana VIC 3936, Australia",3936,-38.329727,144.996685,['EVUp'],6,0,0,0,0,0,0,,6,0,,['unknown']
Springvale Library,"9 Hillcrest Grove, Springvale VIC 3171, Australia",3171,-37.957007,145.153146,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Waverley Gardens Shopping Centre,"271 Police Rd, Mulgrave VIC 3170, Australia",3170,-37.935556,145.189902,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Element Melbourne Richmond,"588 Swan St, Richmond VIC 3121, Australia",3121,-37.826921,145.020707,['EVUp'],4,0,0,0,0,0,0,,4,0,,[22.0]
Springvale MEGA Centre,"754-769 Princes Hwy, Springvale VIC 3171, Australia",3171,-37.94168,145.167746,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Sandown Raceway Carpark,"37 Davis Way, Springvale VIC 3171, Australia",3171,-37.950836,145.162663,['Non-networked'],3,0,0,0,0,0,3,,0,0,,[8.0]
Pullman Melbourne Albert Park,"67 Queens Rd, Melbourne VIC 3004, Australia",3004,-37.849977,144.97831,['Tesla Destination'],3,0,0,0,0,3,0,,0,0,,"[11.0, 22.0]"
BMW South Yarra,"145 Williams Rd, Prahran VIC 3181, Australia",3181,-37.849295,145.00279,"['ChargePoint', 'Non-networked']",4,0,0,0,0,0,0,,2,2,,['unknown']
Barwon Valley Lodge,"99 Barrabool Rd, Belmont VIC 3216, Australia",3216,-38.166789,144.341445,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Northern Motor Group - Pre Delivery Dept,"55 Clements Avenue, Bundoora 3083, Australia",3083,-37.704572,145.072077,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Club Armstrong,"101 Unity Drive, Mount Duneed VIC 3217, Australia",3217,-38.225341,144.328361,['ChargePoint'],2,0,0,0,2,0,0,,0,0,,['unknown']
Middy's Lilydale,"34 Melba Ave, Lilydale VIC 3140, Australia",3140,-37.761942,145.346082,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Mantra Epping,"250 Cooper St, Epping VIC 3076, Australia",3076,-37.649756,145.008102,"['Tesla Destination', 'Non-networked']",4,0,0,0,0,2,0,,2,0,,"[5.0, 'unknown']"
Glenroy Community Hub,"50 Wheatsheaf Rd, Glenroy 3046, Australia",3046,-37.708497,144.924037,['Non-networked'],1,0,0,0,0,0,0,,1,0,,[11.0]
Glen Eira City Council,"256 Hawthorn Road, Caulfield VIC 3162, Australia",3162,-37.880835,145.022852,['Chargefox'],4,0,0,0,0,0,0,,4,0,,['unknown']
Yarra Valley Nissan,"460-462 Maroondah Highway, Lilydale VIC 3140, Australia",3140,-37.754859,145.363238,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
